type_habit,prix,adresse,image_lien
Ensemble vêtement enfant,7000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3061615_uploaded_image1_1618503481.jpg
Ensemble bébé,7000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3061601_uploaded_image1_1618503055.jpg
Lacoste enfant,5000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3057300_uploaded_image1_1618332021.jpg
Pantalon enfant,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3056602_uploaded_image1_1618315072.jpg
Vêtements enfants,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3056595_uploaded_image1_1618314916.jpg
Pantalon enfant,2500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3056588_uploaded_image1_1618314847.jpg
Robe enfant,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3056583_uploaded_image1_1618314776.jpg
Robe enfant,2000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3056578_uploaded_image1_1618314619.jpg
T-shirt enfant,2000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3056575_uploaded_image1_1618314552.jpg
Vêtement enfant,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3056574_uploaded_image1_1618314483.jpg
Ensemble blouson enfant,6500,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3053772_uploaded_image1_1618187520.jpg
T-shirt enfant,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3051993_uploaded_image1_1618077955.jpg
Ensemble  body et collant,2500,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3043879_uploaded_image1_1617740872.jpg
Vêtements enfants,500,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3041195_uploaded_image1_1617633853.jpg
Vêtements enfants,1000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3041189_uploaded_image1_1617633624.jpg
Ensembles pour enfants,0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3038305_uploaded_image1_1617474792.jpg
Vêtement enfant,0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3438481_uploaded_image1_1636971503.jpg
Combinaison surf pour enfant,8000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3420805_uploaded_image1_1636035011.jpg
Ensemble enfant,13500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3416581_uploaded_image1_1635864100.jpg
Blouson Poir Pour Enfant,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3414761_uploaded_image1_1635795193.jpg
Caleçons coton enfant -  12 pièces,6500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3412103_uploaded_image1_1635684897.jpg
Robe de princesse,30000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3410760_uploaded_image1_1635583935.jpg
Ensemble garçon,15000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3405987_uploaded_image1_1635327202.jpg
Robes enfant,15000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3405969_uploaded_image1_1635326776.jpg
Vêtements enfants,0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3404857_uploaded_image1_1635260273.jpg
Vêtements enfants,0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3404666_uploaded_image1_1635254147.jpg
Robe de princesse,10000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3401212_uploaded_image1_1635078924.jpg
Robe de princesse,10000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3401211_uploaded_image1_1635078841.jpg
Vêtement bébé,0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3398130_uploaded_image1_1634894756.jpg
Vêtement bébé,3500,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3396665_uploaded_image1_1634813452.jpg
Ensemble bébé,7000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3396563_uploaded_image1_1634810875.jpg
Grenouillère bébé,6000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3374507_uploaded_image1_1633645210.jpg
Articles bébés,0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3395767_uploaded_image1_1634755870.jpg
Robe bébé,1000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3395494_uploaded_image1_1634745752.jpg
Vêtement bébé,1000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3395485_uploaded_image3_1634745594.jpeg
Vêtements enfants,2000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3395480_uploaded_image1_1634745484.jpg
Grenouillère bébé,0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3340891_uploaded_image1_1631956848.jpg
Grenouillère bébé,0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3340897_uploaded_image1_1631956928.jpg
Vêtements enfant,0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3384909_uploaded_image1_1634171727.jpg
Short de friperie enfants,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3365569_uploaded_image1_1633264344.jpg
Jeans de friperie enfants,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3365568_uploaded_image1_1633264290.jpg
Jeans de friperie enfants,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3365566_uploaded_image1_1633264236.jpg
Jeans de friperie enfants,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3365564_uploaded_image1_1633264163.jpg
Short de friperie,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3365562_uploaded_image1_1633264117.jpg
Caleçon enfant,0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3347857_uploaded_image1_1632316849.jpg
Tee-shirt enfant,4000,"Tambacounda, Sénégal",https://images.coinafrique.com/thumb_3344999_uploaded_image1_1632183344.jpg
Ensemble pour bébé,0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3342098_uploaded_image1_1632007227.jpg
Vêtements enfant,4000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3339695_uploaded_image1_1631884032.jpg
Robe enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3338087_uploaded_image1_1631803844.jpg
Pantalon enfant,5000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3334446_uploaded_image1_1631630022.jpg
Pantalon enfant,5000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3334439_uploaded_image1_1631629866.jpg
Vêtements enfants,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3330818_uploaded_image1_1631454754.jpg
Maillot enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3323046_uploaded_image1_1631093504.jpg
Hijab  enfant,1500,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3319762_uploaded_image1_1630942932.jpg
Ensemble garçon,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3312390_uploaded_image1_1630601676.jpg
Ensemble garçon,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3312388_uploaded_image1_1630601614.jpg
Ensemble   garçon,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3312381_uploaded_image1_1630601429.jpg
