prix,type_habit,adresse,image_lien
5000,Short été,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3826262_uploaded_image1_1660247886.jpg
0,Ensemble homme,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3864195_uploaded_image1_1662397736.jpg
0,Ensemble homme,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3864194_uploaded_image1_1662397701.jpg
7000,Pantalon homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3818674_uploaded_image1_1659825794.jpg
8500,Joggings homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3902130_uploaded_image1_1664702370.jpg
10000,Vêtements homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3900254_uploaded_image1_1664584982.jpg
0,Chemise courte manche homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3861873_uploaded_image1_1662248689.jpg
0,Chemise  homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3861876_uploaded_image1_1662248820.jpg
0,Chemise homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3861875_uploaded_image1_1662248762.jpg
11000,Ensembles homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3899999_uploaded_image1_1664568113.jpg
6000,Ensemble en coton,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3899520_uploaded_image1_1664540996.jpg
10000,Ensemble couple,"Thies, Sénégal",https://images.coinafrique.com/thumb_3898995_uploaded_image1_1664497896.jpg
20000,Costumes africains hommes,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3898206_uploaded_image2_1664457257.jpeg
20000,Costumes africains hommes,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3898192_uploaded_image3_1664456714.jpeg
25000,Costumes africains hommes,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3898184_uploaded_image1_1664456521.jpg
0,T-shirt homme,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3897972_uploaded_image1_1664448408.jpg
7500,Ensemble africain,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3897016_uploaded_image1_1664381198.jpg
7000,Lacoste homme,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3896585_uploaded_image1_1664367270.jpg
7000,Vêtement homme,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3896581_uploaded_image1_1664367171.jpg
10000,Ensemble  unisexe,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3896071_uploaded_image1_1664330311.jpg
5000,Polos Lacoste unisexe,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3896070_uploaded_image1_1664330231.jpg
18000,Ensemble homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3895859_uploaded_image1_1664312785.jpg
0,Vêtement homme,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3895604_uploaded_image3_1664296262.jpeg
7000,Ensemble coton,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3894784_uploaded_image1_1664269984.jpg
55000,Ensemble costume homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3893180_uploaded_image1_1664157175.jpg
0,Maillot basket ball - chaussures homme,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3852172_uploaded_image1_1661814283.jpg
30000,Costume africain,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_3892896_uploaded_image1_1664135638.jpg
13000,Vêtements homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3892699_uploaded_image1_1664124072.jpg
7000,Polos Lacoste,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3892074_uploaded_image1_1664065597.jpg
4000,Shorts homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3892071_uploaded_image3_1664065216.jpeg
7000,T-shirts Lacoste,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3848667_uploaded_image1_1661556725.jpg
7000,Pantalon Kaki,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3848664_uploaded_image1_1661556516.jpg
7000,Pantalons jogging homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3848658_uploaded_image1_1661556142.jpg
10000,Ensemble homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3848659_uploaded_image1_1661556204.jpg
7000,Pantalons Kaki,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3853857_uploaded_image1_1661902235.jpg
13000,Ensemble homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3853845_uploaded_image1_1661901866.jpg
7000,Pantalons homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3853851_uploaded_image1_1661902058.jpg
7000,Chemises homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3853849_uploaded_image1_1661901953.jpg
