type_chaussure,prix,adresse,image_lien
Chaussures Enfants,9000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2394779_uploaded_image1_1593908787.jpg
Chaussures talons / enfants,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2387260_uploaded_image1_1593777158.jpg
Chaussures enfant,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2387223_uploaded_image1_1593776935.jpg
Chaussures enfants,5000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2386398_uploaded_image1_1593767956.jpg
Chaussures enfant,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2384995_uploaded_image1_1593740881.jpg
Chaussures enfant,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2384989_uploaded_image1_1593740679.jpg
Chaussures enfants,5000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2374657_uploaded_image1_1593591600.jpg
Chaussures enfant,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2373859_uploaded_image1_1593565219.jpg
Chaussures enfant,7000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2372034_uploaded_image1_1593536794.jpg
Chaussures bébé,2000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2370678_uploaded_image1_1593519909.jpg
Chaussures enfant,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2368631_uploaded_image1_1593480923.jpg
Chaussures enfant,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2368597_uploaded_image1_1593479349.jpg
